alpha_id,fitness,sharpe,returns,turnover,expression,description
d5Zrzzng,0.7300,1.5800,0.053300,0.247500,"ts_rank(short_term_price_change_2; 22) * (1 - ts_rank(returns; 20))","Param: CMF_window=22; Reversal_window=20"
58pdPVv5,0.7300,1.7800,0.064100,0.380500,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 20)); industry)","Step3.3: group_neutralize(industry) | CMF=5; Rev=20"
wpa7p7Z5,0.7300,1.7500,0.065300,0.374900,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 60)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=5; Rev=60"
wpa7MbwY,0.7300,1.6600,0.059000,0.305800,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 60)); industry)","Step3.3: group_neutralize(industry) | CMF=10; Rev=60"
rK2a1QQm,0.7200,1.7700,0.063700,0.380200,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 20)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=5; Rev=20"
blQ0kmQp,0.7200,1.6700,0.062300,0.334200,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 20)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=10; Rev=20"
ak1mZwb2,0.7200,1.6700,0.062000,0.334000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 20)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=10; Rev=20"
wpa7go51,0.7200,1.6500,0.058700,0.305500,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 60)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=10; Rev=60"
gJ8VGMZv,0.7100,1.6500,0.056900,0.309400,"ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 20))","Param: CMF_window=10; Reversal_window=20"
d5ZrMR1E,0.7100,1.7500,0.068000,0.417500,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 10)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=5; Rev=10"
VkGbW21Y,0.7100,1.7500,0.067800,0.417200,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 10)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=5; Rev=10"
rK2a32EJ,0.7100,1.6600,0.057000,0.311900,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 20)); industry)","Step3.3: group_neutralize(industry) | CMF=10; Rev=20"
3qpvkA6P,0.7000,1.7900,0.064800,0.425700,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20))","Param: CMF_window=3; Reversal_window=20"
qMNJYObv,0.7000,1.7600,0.066100,0.421200,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60))","Param: CMF_window=3; Reversal_window=60"
omN0k9Jk,0.7000,1.8000,0.065200,0.429200,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20)); industry)","Step3.3: group_neutralize(industry) | CMF=3; Rev=20"
blQ1gdll,0.7000,1.7900,0.064800,0.428900,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=3; Rev=20"
E5GPPaRR,0.7000,1.7700,0.066300,0.424800,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60)); industry)","Step3.3: group_neutralize(industry) | CMF=3; Rev=60"
WjArQ7qd,0.7000,1.6400,0.056600,0.311600,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 20)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=10; Rev=20"
omN0j1Ev,0.6900,1.7500,0.065900,0.424500,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=3; Rev=60"
gJ8Vgd3l,0.6600,1.6700,0.059700,0.387800,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 10))","Param: CMF_window=5; Reversal_window=10"
KPGMQxJz,0.6600,1.5000,0.049600,0.256700,"ts_rank(short_term_price_change_2; 22) * (1 - ts_rank(returns; 10))","Param: CMF_window=22; Reversal_window=10"
QPGpRxjp,0.6600,1.6800,0.059900,0.391000,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 10)); industry)","Step3.3: group_neutralize(industry) | CMF=5; Rev=10"
2rpog2L5,0.6500,1.6700,0.059600,0.390700,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 10)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=5; Rev=10"
xANpGnol,0.6400,1.5600,0.052900,0.319100,"ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 10))","Param: CMF_window=10; Reversal_window=10"
2rpVM0XY,0.6300,1.5500,0.052800,0.321700,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 10)); industry)","Step3.3: group_neutralize(industry) | CMF=10; Rev=10"
wpak2Lb5,0.6200,1.6700,0.060000,0.435600,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 10))","Param: CMF_window=3; Reversal_window=10"
O0GXVlwJ,0.6200,1.6700,0.060200,0.439200,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 10)); industry)","Step3.3: group_neutralize(industry) | CMF=3; Rev=10"
78zPW0X2,0.6200,1.5300,0.055100,0.341000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 10)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=10; Rev=10"
N1bE02l7,0.6200,1.5400,0.052400,0.321500,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 10)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=10; Rev=10"
XgoAMbg1,0.6100,1.6600,0.059800,0.438900,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 10)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=3; Rev=10"
QPGRJj8r,0.6100,1.5300,0.054900,0.340800,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 10)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=10; Rev=10"
ak19QR8x,0.6000,1.6300,0.054200,0.399000,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 5))","Param: CMF_window=5; Reversal_window=5"
YPvozz2J,0.5800,1.4200,0.044700,0.271700,"ts_rank(short_term_price_change_2; 22) * (1 - ts_rank(returns; 5))","Param: CMF_window=22; Reversal_window=5"
